 Tweet Text,Cluster
"At least 90 killed in Brazil nightclub fire: A fire swept through a nightclub in southern Brazil, killing at lea... http://t.co/frASrrpR",3
Local media: Brazil nightclub fire kills at least 90: SAO PAULO (Reuters) - At least 90 people were killed in a ... http://t.co/28kJmmzF,3
Another lesson to nightclub owners; place safety first not revenue.  Brazil nightclub fire likely killed more than 200. http://t.co/BOgvHf50,3
Official: 90 killed in Brazil nightclub fire http://t.co/gzy1UnkU #LetsDiscussIt,3
At least 90 people killed in Brazil nightclub fire http://t.co/652uKBdC,3
5 Die After Earthquake in Italy - New York Times http://t.co/PHIT5njt,4
RT @cnnbrk: New York City has tightened security in wake of explosions at #Boston Marathon. We don't know extent of casualties. http://t ...,4
New York Post reports 12 runners were killed in Boston marathon bombings.,4
40 Missing in Deadly Canada Oil Train Crash http://t.co/lkMRqDkevx,4
Canada train blast figure up to 60: Sixty people are now thought to be dead or missing after a freight train carrying crude oil derai...,4
Railway worker suspended in Quebec train crash: chief: The engineer in charge of the oil train that derailed i... http://t.co/JyMYdcyxMb,4
RT @BreakingNews: Canadian police say 50 people now unaccounted for in Quebec train crash; 20 bodies recovered - @CBCAlerts http://t.co/KYV…,4
@NBCNews: Death toll at 50 as 30 missing now presumed dead in Quebec train crash; engineer suspended http://t.co/LJD4G1GFYc,4
RT @NBCNews: Death toll at 50 as 30 missing now presumed dead in Quebec train crash; engineer suspended http://t.co/pKbHxBlF5y,4
ABC US -  Quebec Train Crash Death Toll Now at 20 http://t.co/5X5lVZgz8L,4
RT @selenagomez: Thank you for all of your concerns!! Earthquake was scary but thankfully everyone is ok. Praying for Italy,5
RT @selenagomez: Thank you for all of your concerns!! Earthquake was scary but thankfully everyone is ok. Praying for Italy,5
RT @selenagomez: Thank you for all of your concerns!! Earthquake was scary but thankfully everyone is ok. Praying for Italy,5
RT @selenagomez: Thank you for all of your concerns!! Earthquake was scary but thankfully everyone is ok. Praying for Italy,5
RT @selenagomez: Thank you for all of your concerns!! Earthquake was scary but thankfully everyone is ok. Praying for Italy,5
RT @selenagomez: Thank you for all of your concerns!! Earthquake was scary but thankfully everyone is ok. Praying for Italy,5
RT @selenagomez: Thank you for all of your concerns!! Earthquake was scary but thankfully everyone is ok. Praying for Italy,5
RT @selenagomez  Thank you for all of your concerns!! Earthquake was scary but thankfully everyone is ok. Praying for Italy,5
RT @selenagomez: Thank you for all of your concerns!! Earthquake was scary but thankfully everyone is ok. Praying for Italy,5
RT @selenagomez: Thank you for all of your concerns!! Earthquake was scary but thankfully everyone is ok. Praying for Italy,5
RT @BBCWorld: Magnitude 7.9 #earthquake hits #CostaRica - USGS. Details soon: http://t.co/TcpLwxJJ,6
"Please pray! A powerful, magnitude-7.9 earthquake has shaken #CostaRica, according to the USGS.",6
RT @BBCWorld: Magnitude 7.9 #earthquake hits #CostaRica - USGS. Details soon: http://t.co/TcpLwxJJ,6
"RT @Disarm: USGS: Major earthquake hits #CostaRica, tsunami warning issued. http://t.co/fF1uny0U @nbcnews #LatinAmerica",6
Earthquake here in #costarica #temblorcr,6
My prayers go out to every1 in #CostaRica...just had a 7.9 earthquake,6
7.6-magnitude #Earthquake hits #CostaRican coast http://t.co/3PBwSz4y #cnn,6
well that was an #earthquake...,6
Another #earthquake...at least i was already awake this time!,6
RT @KhuludLa: The earthquake scared the shit out of me! #earthquake,6
"RT @raycorea: Gracias a todos los que se han preocupado por el temblor que pasó en Costa Rica, estamos bien confiando en que la  mano de ...",7
Con pesar por las lagrimas que han derramado los afectado en #SanMarcos que son gente muy noble pero sobre todo muy luchadora.,7
"Elias Jaua: Fuga de gas generó explosión en refinería de Amuay, dejando 26 muertos y más 86 heridos.",7
"Hoy Falcon amaneció con tristezas y luto, por la fuerte explosión en Amuay, refinería de la península de Paraguaná :(",7
Este tweet va dedicado a esos 24 Venezolanos que perdieron la vida #Amuay,7
"El accidente de Amuay es lamentable, mis condolencias y apoyo a ese pueblo que una vez integre como personal de esa refineria",7
RT @RunRunesWeb: #Top Fotos impactantes de la tragedia en la Refinería de Amuay. - http://t.co/tx7AM0d0,7
"---»RT @Maricle: Para quienes conocemos la refinería de Amuay y las barriadas en sus alrededores, la ... http://t.co/BMdV3HX6",7
RT @JessiDuno Lamentable q a más d 12hrs d la tragedia en #Amuay aún no hayan declaraciones serias y responsables del Estado,7
"Toda Vzla paralizada con la gran tragedia de larefineria de #Amuay, muchas fuerzas a todas esas familias de los fallecidos...",7
RT @jimmurphymp: Terrible here in Glasgow Helicopter crashed into roof of pub,8
RT @BabaWho: Helicopter 'crashes into pub in Glasgow' http://t.co/XBScbvZD3x THE CLUTHA BAR,8
RT @ScottishSun: BREAKING: A helicopter has crashed in to the roof of a Glasgow City Centre pub. More to follow.,8
RT @SkyNewsBreak: Labour MP Jim Murphy says a helicopter has crashed into the roof of a pub in Glasgow,8
Anybody heard anything about a helicopter crashing into a pub in Glasgow ???,8
RT @scott7stevenson: Terrible news of a helicopter crashing into the Clutha in Glasgow. Hope everyone is ok http://t.co/alSV2fg6qS,8
Wtf a helicopter has crashed in a pub in Glasgow? ????? The Clutha or suhin at the clyde side,8
RT @SkyNewsBreak: Update - Reports of multiple people trapped after helicopter crashes into the roof of a pub in Glasgow,8
RT @ZoraSuleman: A helicopter has crashed into a pub in Glasgow https://t.co/LwKvrrj44n,8
Helicopter crash in Glasgow not sounding good :(,8
RT @ddlovato: So sad to hear about the nightclub fire in Brazil. Such a tragedy. Praying for everyone affected down there.,9
RT @ddlovato: So sad to hear about the nightclub fire in Brazil. Such a tragedy. Praying for everyone affected down there.,9
RT @ddlovato: So sad to hear about the nightclub fire in Brazil. Such a tragedy. Praying for everyone affected down there.,9
RT @ddlovato: So sad to hear about the nightclub fire in Brazil. Such a tragedy. Praying for everyone affected down there.,9
RT @ddlovato: So sad to hear about the nightclub fire in Brazil. Such a tragedy. Praying for everyone affected down there.,9
RT @ddlovato: So sad to hear about the nightclub fire in Brazil. Such a tragedy. Praying for everyone affected down there.,9
RT @ddlovato: So sad to hear about the nightclub fire in Brazil. Such a tragedy. Praying for everyone affected down there.,9
RT @ddlovato: So sad to hear about the nightclub fire in Brazil. Such a tragedy. Praying for everyone affected down there.,9
RT @ddlovato: So sad to hear about the nightclub fire in Brazil. Such a tragedy. Praying for everyone affected down there.,9
RT @ddlovato: So sad to hear about the nightclub fire in Brazil. Such a tragedy. Praying for everyone affected down there.,9
"RT @NewEarthquake: 7.9 earthquake, off the coast of Costa Rica. Sep 5 8:42am at epicenter (6m ago, 83km S of Liberia, depth 46km). http: ...",10
"RT @Gorileo: 7.9	3km NE of Samara, Costa Rica	2012-09-05 14:42:10 #TemblorCR",10
"RT @NewEarthquake: 7.9 earthquake, off the coast of Costa Rica. Sep 5 8:42am at epicenter (6m ago, 83km S of Liberia, depth 46km). http: ...",10
"RT @NewEarthquake: 7.9 earthquake, off the coast of Costa Rica. Sep 5 8:42am at epicenter (6m ago, 83km S of Liberia, depth 46km). http: ...",10
"RT @Reuters: More: 7.9-magnitude earthquake rattles coastline of Costa Rica, USGS says - http://t.co/9YqdEq9g",10
"@DBeitia 7.9 earthquake, of the coast of Costa Rica. Sep 5 8:42am at epicenter (6m ago, 83km S of Liberia, depth 46km). http://t.co/jXpQHBwd",10
RT @BreakingNews: Magnitude 7.9 earthquake strikes off the coast of Costa Rica - USGS,10
Magnitude 7.9 earthquake strikes off the coast of Costa Rica - USGS,10
RT @reuters: CARIBBEAN-WIDE TSUNAMI WATCH IN EFFECT AFTER COSTA RICAN QUAKE - PACIFIC TSUNAMI WARNING CENTER,10
RT @Reuters: Live coverage: 7.9-magnitude earthquake rattles the coast of Costa Rica; tsunami watch for Caribbean in effect - http://t.c ...,10
RT @_SGkid: They should spin the Flyer at a very high speed so Singapore will be cooler and blow the haze away.,11
"RT @sgbroadcast: [ST] Haze update: Clearer skies over Singapore on Saturday with PSI at 'moderate' range: June 16, 2... http://t.co/qyZhDSX…",11
RT @thepanditspeaks: Haze in Singapore continues due to Sumatra Forest fires.Feels like hill station sans the chill...,11
RT @TradingJeremy: Pall of throat-scratching haze enveloping Singapore today. Who turned the smoke machine on in Indonesia this time? Cough,11
Shit....... #Indonesia; SERIOUSLY?!?!?! #haze #Singapore 😡 http://t.co/G3qlzs2TaH,11
"RT @alvarofong: If only we could transform all the haze in Singapore to cold, fresh mist. Ahhh,  that would be amazing.",11
“@surenjerrymyaah: The sun and haze will soon set Singapore ablaze”,11
Lol lol ! Yesterday is Melaka Kenna the haze. Today is Singapore 😂,11
RT @2SevenApril_: Okay guys one way to make the haze go away from Singapore is to put your fans at the window and blow the haze away.,11
NewsInSG: Haze approaches 'unhealthy' level in Singapore: Singapore's haze situation worsened on Mo... http://t.co/ukVmx2QJQD #Singapore,11
RT @northfortynews: Tanker helicopter heads up to Paradise Park to drop water on #HighParkFire. http://t.co/7atRS5cy,12
FEMA has authorized the use of federal funds to help with firefighting costs for the #HighParkFire. http://t.co/whxlpPEP,12
RT @LarimerSheriff: #HighParkFire update http://t.co/hBy5shen,12
RT @TheUmno: MT @KellyNehls: #photo Unedited photo from New Belgium Brewery #highparkfire #fortcollins #loc New Belgium Brewery # http:/ ...,12
#wildfire high park fire  http://t.co/OHB5nPtY,12
This is crazy #highparkfire http://t.co/TJyXcdNN,12
RT @jawtry: RT @runnermwilliams: SW side of Ft Collins. It's like a scene from Independence Day. #highparkfire http://t.co/NYFVinVM,12
RT @u2videoqueen: Smoke plume from #HighParkFire.  Viewed from Northern #Boulder county. http://t.co/z56NZeJ3,12
"Sunset I shot last April on top of Buckhorn Mountain, at #ShilohGuestRanch, now under #HighParkFire.  http://t.co/vVG1oCBO",12
"“Latest info: 36,930 acres, 18 structures damaged, 1 person missing. All stories and updates here: http://t.co/K0uRXxle #HighParkFire”",12
National Disaster Agency: 4 people killed in building collapse in Cebu after Philippines quake - @Reuters,13
RT @Reuters: Four killed in building collapse after Philippines quake: disaster agency http://t.co/oPHoBr6CFq,13
@Reuters: Four killed in building collapse after Philippines quake: disaster agency http://t.co/tCt1uHnbS0,13
"RT @AJELive: A building in #Bangladesh has collapsed killing up to three people and trapping more, according to agencies. More soon.",13
"RT @drnhsarja: 8-story commercial building collapse in #Bangladesh; 3 dead , many feared trapped! :( #fb",13
NDTV: Bangladesh building collapse kills at least three http://t.co/pOIsYAObgX,13
"Bangladesh building collapse kills at least three, several injured: At least three people were killed an... http://t.co/qbaixfsgZy #News",13
"RT @BDnews: Garment factory building collapses in Bangladesh, 25 dead: TV - 路透社 http://t.co/ztvCEszd5v #Bangladesh",13
"Bangladesh Building Collapse: Fatalities Reported, Others Feared Trapped: DHAKA, Bangladesh — An 8-story comme... http://t.co/m98wvEsL0W",13
Deadly building collapse in Bangladesh  http://t.co/uoRLgHnZL0 @AJEnglishさんから,13
RT @ruredaktor: Что на самом деле упало в Челябинске.… http://t.co/trJ6B2qU #метеорит #челябинск,14
RT @ruredaktor: Что на самом деле упало в Челябинске.… http://t.co/trJ6B2qU #метеорит #челябинск,14
RT @ruredaktor: Что на самом деле упало в Челябинске.… http://t.co/trJ6B2qU #метеорит #челябинск,14
RT @ruredaktor: Что на самом деле упало в Челябинске.… http://t.co/trJ6B2qU #метеорит #челябинск,14
RT @ruredaktor: Что на самом деле упало в Челябинске.… http://t.co/trJ6B2qU #метеорит #челябинск,14
RT @ruredaktor: Что на самом деле упало в Челябинске.… http://t.co/trJ6B2qU #метеорит #челябинск,14
RT @ruredaktor: Что на самом деле упало в Челябинске.… http://t.co/trJ6B2qU #метеорит #челябинск,14
RT @ruredaktor: Что на самом деле упало в Челябинске.… http://t.co/trJ6B2qU #метеорит #челябинск,14
RT @ruredaktor: Что на самом деле упало в Челябинске.… http://t.co/trJ6B2qU #метеорит #челябинск,14
RT @ruredaktor: Что на самом деле упало в Челябинске.… http://t.co/trJ6B2qU #метеорит #челябинск,14
RT @ChannelNewsAsia: #HAZE UPDATE: #PSI is 80 at 5pm. Here's .@NEAsg's map showing PSI at various locations in #Singapore http://t.co/gddpD…,15
"RT @CrispinLim: @STcom: #Haze update: 3-hour PSI climbs to 95, says @NEAsg. #sghaze Is it an asian thing to get everything to 100?",15
"RT @ChannelNewsAsia: #SGHAZE: PSI reading hits 100 at 2pm, on brink of unhealthy level.",15
"Well where's my gas mask RT @ChannelNewsAsia: #SGHAZE: PSI reading hits 100 at 2pm, on brink of unhealthy level.",15
HAHAHAHAH CAN YOU BELIEVE THIS TREND . #SGHAZE #PSI,15
RT @ChannelNewsAsia: #Haze reaches ‘unhealthy’ level in #Singapore. PSI is 105 at 3pm. #SGHAZE,15
"RT @STcom: #Sghaze update: PSI is 111 at 4pm, in the unhealthy range",15
"RT @STcom: #Sghaze update: PSI is 111 at 4pm, in the unhealthy range",15
"My throat dun feel good! @STcom: #Sghaze update: PSI is 111 at 4pm, in the unhealthy range",15
"RT @STcom: #Sghaze update: PSI is 110 at 5pm, in the unhealthy range @NEAsg",15
20F degrees cooler tomorrow in North Central &amp; Northeastern #Colorado. Highs in the mid and upper 70'S. #HighParkFire #COwx #Heat #Coolbreak,16
"New #HighParkFire Evacs: 474 evac notices S &amp; W of Bellvue includes Lory State Park, Redstone Canyon &amp; Buckhorn Rd to Stove Prairie School",16
RT @SignaramaFC: Mulberry &amp; Lemay vie west 30 min ago. Can hardly believe it's actually 15 miles away!  #highparkfire http://t.co/vm ...,16
"RT @ExaminerWeather: #HighParkFire explodes to 36,930 acres, 400 personnel on site, more evacuations ordered. Story &amp; photos: http:/ ...",16
RT @KDVR: Follow the latest #HighParkFire updates with our live blog &amp; chat room http://t.co/fBRlcE2o #breakingnews #fortcollins,16
MT @KyleClark: Please keep #HighParkFire firefighters in your thoughts/prayers. Difficult day looms for them.,16
"Sending lots of positive thoughts to Larimer County, Fort Collins and the people affected by the #HighParkFire",16
"RT @jawtry: RT @travisswan: #HighParkFire 3 panoramas I took today from h.287, Bingham Hl Rd, &amp; ridge above Co Rd 23. @coloradoan ht ...",16
"Pre-evacuation notice for part Glacier View CR74E, S &amp; E of McNay Hill. Hewlett Gulch Road, Deer Meadow Way, Gordon Creek Lane #HighParkFire",16
"@9NEWS: Incident command: NE &amp; SE corners, S flank of #HighParkFire are hot. East flank, which is closest to Ft Collins is calm",16
"RT @SportsCenter: BREAKING: Suspect #1 in Boston Marathon bombing shot and killed by police. Suspect #2 on the run, massive manhunt unde ...",17
Something's happening @ #LAX rt now!! Re-tweet.,17
"What the hell is going on at LAX, and why does something bad ALWAYS happen at an airport on days that I fly? Explain, @jonostrower.",17
RT @efink: Gunfire on the tarmac. RT @CBSLA #BREAKING: #LAPD: Incident Reported In Terminal 3 At #LAX. http://t.co/cRQ5HzFgJO,17
Gunshots outside #LAX. Unknown if anyone is injured. Prayers go out to you all.,17
Shooting in Terminal 3? Hard to get specifics. RT @TOPolk What the hell is going down at #LAX?,17
RT @anblanx: Breaking Shooting at LAX. Terminal 2 Sources say report 2 victims down. Suspect down.,17
RT @charlescwcooke: California should pass gun control. RT @anblanx: Breaking Shooting at LAX. Terminal 2 Sources say report 2 victims down…,17
RT @jforstrom: At #lax. Just had to run onto runway because of shooting in terminal 2 http://t.co/4ZHVCcVmVX,17
"RT @NewsBreaker: EYEWITNESS: @ToryBelleci reports hearing gun shots, then everyone starting running for the door. Outside now @ #LAX http…",17
#terremoto: Adesso Modena oltre che per i maiali sarà famosa anche per #imaya http://t.co/3ei8Nd3h,18
#Terremoto: Lo stato d'emergenza sarà formalizzato nel Consiglio dei Ministri previsto per martedì. http://t.co/3lycs5Gt,18
"RT @VentoTagliente: Per il #terremoto, ci sono due numeri per segnalare le emergenze: 0532-771546 e 0532-771585. Spero possano essere ut ...",18
RT @Lu_Sabbatucci: #terremoto Cento: il nr verde non funziona x aiuti chiamare 333 2602730” RT PER FAVORE - usare solo per emergenze.,18
"Odio il #terremoto,oltre che per le sue terribili conseguenze,per la sensazione di schifoso malessere che lascia.",18
Ecco i numeri d'emergenza per le zone colpite:San Felice 800210644; Cento 3332602730.,18
RT @Agenzia_Italia: #terremoto #Cappellacci: La Sardegna e' pronta a inviare uomini e mezzi per portare soccorso alla popolazione http ...,18
RT @s7ens: #NO2Giugno 3 milioni di euro per una parata militare. Diamoli per aiuti &gt;&gt;&gt; #terremoto http://t.co/D7vdItYo,18
"RT @VentoTagliente: Finalmente, dalle 19, sarà attivo il 45500 per donare 2 euro con SMS o telefonia fissa per l'emergenza #terremoto. M ...",18
"RT @SmileForTheCam_: Mandate tutti un sms al 45500 per aiutare le popolazioni colpite dal #terremoto . Sono solo 2€: per voi è niente, p ...",18
#Evacuation center Cache La Poudre Middle School 3515 West County Road 54G in Laporte. #Colorado #Wildfire,19
#Media Large wildfire in N. Colorado prompts evacuations: Crews are battling a fast-moving wildf... http://t.co/ju1BGTKH #Politics #News,19
Large wildfire in northern Colorado prompts evacuations - Fox News: CBS NewsLarge wildfire in northern Colorado ... http://t.co/BvG6xSRH,19
Wildfires in Colorado and New Mexico ravage thousands of acres of forest and cause massiv... http://t.co/SZuFABvb + http://t.co/8uX1AJmQ,19
India Large wildfire in N. Colorado prompts evacuations http://t.co/uprHT63g,19
Western wildfires forcing evacuations: Firefighters in Colorado and New Mexico are battling wildfires that are m... http://t.co/BOaVjrRO,19
Huge forest fire here in Colorado up in the mountains,19
"Colorado fire swells in size: A raging wildfire that swelled within a day to 8,000 acres in northern Colorado, b... http://t.co/VfjF9C59",19
#IFWT Colorado Wildfires Getting Worse - http://t.co/OhpuHWbi,19
Colorado fire displaces hundreds; 1 person missing: Firefighters in Colorado and New Mexico are battling wind-fu... http://t.co/R6OQwpix,19
"RT @pinkbunny70: Prayers for the residents, Firefighters and all those trying to put out the fires! #highparkfire #ColoradoFires Hope ev ...",20
RT @ReBourne_Again: Everyone please pray for our state of Colorado! There are 9 fires burning in our state! The most recent is The... h ...,20
"Yikes, that smoke is too close for comfort. Stay safe, #Boulder! #flagstafffire",20
New forest fire just broke out in Boulder! 14 forest fires in CO right now! Praying my heart out!,20
Be safe my south boulder friends. This one breaks my heart :( #flagstafffire #tooclosetohome http://t.co/QWuL4fVy,20
"RT @TammyBarber: Lord, protect those in the path of the fires in Colorado. Please, send your Divine extinguisher for those fires!",20
"RT @JoViClo: God Bless those who serve others. #firefighters in #Colorado, stay safe. http://t.co/ApRU7u0q",20
"RT @BabyBash: Yeah I have lots of friends and fam in Colorado,, keep a blessing for them! Battling them big wild fires!! Many lost house ...",20
"RT @BabyBash: Yeah I have lots of friends and fam in Colorado,, keep a blessing for them! Battling them big wild fires!! Many lost house ...",20
RT @stevelange: Plz RT How 2 help those affected by the CO fires: http://t.co/o4tFNLf2 #waldocanyonfire #flagstafffire #highparkfire,20
"RT @RT_com: BREAKING: Explosions over Russia’s Urals region, reportedly a meteor shower, sparked panic in three major cities http://t.co ...",21
"RT @magicgirlsue: Let's see, Pope quit, Google was dumped, now a meteor shower in Russia. When should we expect the locusts?",21
RT @YourAnonNews: BREAKING A Footage Meteorite Hitting Russia (#Chelyabinsk). http://t.co/wAMDQlnm,21
RT @ReutersScience: Possible meteor shower reported in eastern Russia http://t.co/CrcLEBza,21
"RT @FPWellman: This is remarkable RT @lindseymastis: VIDEO: Meteor crashes in Russia: http://t.co/mrY7CCfF (via @RT_com, Russia's state- ...",21
RT @finansakrobat: RT @RT_com: BREAKING: Urals #meteorite shot down by Russian air defense - military source  http://t.co/EXmfEuEm #Russia,21
RT @Crusaderofchaos: Wow! #Meteor over Russia - http://t.co/69uVg8Rf and http://t.co/pt8zxDXD for the sonic boom.,21
RT @CallMeBrad: Possibly? RT: @a_koretsky A piece of an asteroid hit the Zinc Plant #Chelly http://t.co/Prjc64e9 #Russia #Meteor #Urals,21
MT @YourAnonNews: Office buildings in #Russia's Chelyabinsk are being evacuated as meteorite shower hits http://t.co/PMW1nXZW #Chelyabinsk,21
"RT @BreakingNews: Spectacular meteor shower shatters windows, causes injuries in Russia's Ural mountains, officials say - @BBCBreaking h ...",21
RT @elmundoes: URGENTE: Descarrila un tren de pasajeros a pocos metros del casco urbano de Santiago de Compostela.,22
RT @copecoruna: ÚLTIMA HORA: Descarrila un tren de pasajeros en la entrada de la estación de Santiago de Compostela. Hay fallecidos. http:/…,22
Ha descarrilado un tren en santiago de Compostela,22
RT @abc_es: #ACTUALIZACIÓN: Diez muertos tras descarrilar un tren en Santiago de Compostela http://t.co/SMjvzheviV,22
RT @A3Noticias: ÚLTIMA HORA: Descarrila un tren de pasajeros que cubría la ruta entre Madrid y Ferrol en Santiago de Compostela http://t.co…,22
RT @infobaeamerica: [REITERAMOS] Descarriló un tren en España: habría una decena de muertos http://t.co/arNcuP94cI,22
RT @A3Noticias: ÚLTIMA HORA: Descarrila un tren de pasajeros que cubría la ruta entre Madrid y Ferrol en Santiago de Compostela http://t.co…,22
Al menos nueve muertos al descarrilar un tren de pasajeros cerca de Santiago de Compostela http://t.co/jkeWaqhBrh vía @la_informacion,22
RT @OskyFive: Descarrila un tren Alvia @Renfe justo antes de llegar a Santiago de Compostela #Galicia #Renfe  http://t.co/DXEdMRZFUo,22
RT @elmundoes: ÚLTIMA HORA: Al menos seis muertos tras descarrilar un tren de pasajeros en Santiago de Compostela http://t.co/aSbRHO0vUO ví…,22
"Don't tell God how strong the typhoon is, tell the typhoon how big your God is. Genesis 8:7-12 #rescuePH #Philippines””",23
"RT @ejaygarcia83: Don't tell God how strong the typhoon is, tell the typhoon how big your God is. Genesis 8:7-12 #rescuePH #Philippines",23
We're tracking Typhoon #Bopha as it heads towards the #Philippines.  #WCPFC starts on Sunday and will be discussing #tuan and #sharks,23
[NEWS] Typhoon Bopha is forecast to strike the Philippines at about 15:00 GMT on 4 ... - Reuters AlertNet (blog) | R... http://t.co/UjUK7RGL,23
"RT @AlagadNiSenyora: “@24_Oras: Typhoon Bopha, posibleng maging sinlakas ng Bagyong Sendong kapag pumasok sa PAR ngayong Linggo. Ingitt ...",23
#Weather Update: Visayas will be greatly affected by Typhoon Bopha(TY Pablo). It might make landfall over Bohol on Tuesday |via @seph_ubalde,23
The Watchers - Tropical Storm Bopha upgraded to typhoon http://t.co/VB8TNzyC via @TheWatchers_,23
Expected track of Typhoon Bopha in the next 24-72 hrs. Will be a Category 4 storm in 48hrs and in the PAR in 72hrs. http://t.co/qRrnhnHb,23
Another typhoon named internationally as  #BOPHA will hit #Southern #Mindanao. It will be named #Pablo in RP. Oh noooooes!!,23
RT @dost_pagasa: Typhoon BOPHA Satellite image as of 01/DEC/12 06:30PM http://t.co/TEjX5fxY,23
RT @HumaneSociety: we'll second that! RT @nalowry: Shout out to all local news agencies keeping people updated on the #highparkfire,24
BBC News - Hundreds forced from their homes by Colorado wildfire http://t.co/rAKBJwQJ,24
Great one here: Colorado wildfire roars to 73 square miles - Fox News  [a link in my bio],24
Back to the news: Latest perimeter map of the #HighParkFire as of late last night: http://t.co/vP3PhhKW,24
"RT @denvernews: Denver News: Colorado to sizzle with record heat Monday, fire danger is high http://t.co/gnzPRjgX",24
"New Colorado wildfire erupts, grows out of control - Yahoo! News http://t.co/kOKAVruc",24
#Gov20 News - Forest Service calls in Air Force tankers to battle Colorado fires http://t.co/QTY8ziQn,24
"Video: AP  - AP Top Stories: Here's the latest news for Tuesday, June 26: Colorado fires rage in hot, dry condit... http://t.co/002ENi0t",24
"RT @AC360: #Breaking news tonight: 7,000 more people should evacuate immediately in #Colorado. Stay with #AC360 tonight.",24
Tens of thousands flee homes as Colorado wildfire doubles in size overnight - Fox News: BBC NewsTens of thousand... http://t.co/5CrKMBe8,24
enterprisedaily: Explosion kills 39 at Venezuela refinery - The death toll from an explosion at Venezuela's biggest ... http://t.co/7txOMBfO,25
Explosion at the Boston marathon.,25
